    2.672122, 2.609543, 2.544622, 2.477962, 2.41109, 2.344413, 2.279073, 
    2.216242, 2.156606, 2.101303, 2.051111, 2.007468, 1.970865, 1.942789, 
    1.92396, 1.915483, 1.918646, 1.934206,
  0.2819059, 0.3017595, 0.3244585, 0.3483838, 0.3738564, 0.4003946, 
    0.4277851, 0.4576809, 0.4937041, 0.5356859, 0.5827072, 0.634631, 
    0.6905855, 0.750128, 0.8127387, 0.8778605, 0.944903, 1.01328, 1.082549, 
    1.15199, 1.221161, 1.289584, 1.356647, 1.421838, 1.484585, 1.544314, 
    1.600552, 1.652675, 1.700223, 1.742654, 1.779411, 1.809958, 1.833705, 
    1.850136, 1.858806, 1.858784, 1.848333, 1.827869, 1.798099, 1.759919, 
    1.714109, 1.661478, 1.602868, 1.539093, 1.470912, 1.399225, 1.324833, 
    1.248453, 1.171044, 1.09331, 1.016186, 0.9404386, 0.8668222, 0.7962874, 
    0.7295894, 0.6675107, 0.6109966, 0.5607432, 0.5176844, 0.4826155, 
    0.4563532, 0.4397652, 0.4336102, 0.4388012, 0.4555004, 0.4831328, 
    0.5207641, 0.567754, 0.6233176, 0.6867039, 0.7570199, 0.8335106, 
    0.9156435, 1.002408, 1.093099, 1.186761, 1.282988, 1.380705, 1.479151, 
    1.577605, 1.675261, 1.771348, 1.864782, 1.955106, 2.041347, 2.122538, 
    2.19802, 2.266954, 2.328281, 2.381197, 2.425099, 2.458713, 2.481618, 
    2.494136, 2.497226, 2.491425, 2.477619, 2.456422, 2.428497, 2.3948, 
    2.356132, 2.313319, 2.266952, 2.217877, 2.166829, 2.114563, 2.062096, 
    2.010186, 1.959466, 1.911099, 1.865567, 1.824071, 1.787114, 1.755891, 
    1.731141, 1.713787, 1.704813, 1.705102, 1.715541, 1.737187,
  0.5223442, 0.5487548, 0.577202, 0.6062438, 0.6356891, 0.6654427, 0.6953132, 
    0.7263511, 0.7626928, 0.8041294, 0.850153, 0.9001243, 0.9535919, 
    1.010122, 1.069138, 1.129994, 1.192407, 1.255604, 1.319257, 1.382852, 
    1.445797, 1.5076, 1.567825, 1.625868, 1.681295, 1.73361, 1.782297, 
    1.826805, 1.866743, 1.90146, 1.930521, 1.953545, 1.969848, 1.979003, 
    1.980547, 1.973691, 1.956413, 1.928973, 1.892206, 1.846916, 1.793911, 
    1.734064, 1.668065, 1.596774, 1.520973, 1.441538, 1.359313, 1.274964, 
    1.189384, 1.103381, 1.017776, 0.9333858, 0.8510252, 0.7715768, 0.6957396, 
    0.6243852, 0.5583365, 0.4984489, 0.4454987, 0.4003468, 0.3638254, 
    0.3367291, 0.3199245, 0.3141872, 0.3191157, 0.3339276, 0.3579345, 
    0.3904082, 0.4307215, 0.4782006, 0.5322673, 0.5921699, 0.6571998, 
    0.7268307, 0.8002191, 0.8768517, 0.9560833, 1.037002, 1.119258, 1.201745, 
    1.284048, 1.365395, 1.445138, 1.522254, 1.596513, 1.666807, 1.732586, 
    1.79313, 1.847298, 1.894748, 1.934709, 1.966034, 1.988734, 2.002919, 
    2.00929, 2.00859, 2.001177, 1.988256, 1.969806, 1.946746, 1.919664, 
    1.889048, 1.855849, 1.82043, 1.783724, 1.7464, 1.708779, 1.671678, 
    1.636059, 1.602269, 1.571317, 1.543804, 1.520407, 1.502036, 1.489173, 
    1.482951, 1.483947, 1.493001, 1.51075, 1.538474,
  0.7646597, 0.7974232, 0.8315873, 0.8655397, 0.8990399, 0.9319956, 
    0.9640121, 0.9962599, 1.032977, 1.07391, 1.118747, 1.166926, 1.217921, 
    1.271326, 1.326693, 1.383391, 1.440947, 1.4991, 1.557232, 1.614768, 
    1.671409, 1.726588, 1.779872, 1.830822, 1.878971, 1.923862, 1.964904, 
    2.00178, 2.033927, 2.060934, 2.082428, 2.097821, 2.106632, 2.108514, 
    2.102908, 2.08913, 2.064931, 2.030513, 1.986719, 1.934341, 1.874097, 
    1.806915, 1.733534, 1.654659, 1.571289, 1.484111, 1.393952, 1.301527, 
    1.207809, 1.113514, 1.019379, 0.9263735, 0.8352291, 0.7466872, 0.6616987, 
    0.5810086, 0.5053779, 0.4357689, 0.3728497, 0.3175654, 0.2706811, 
    0.2329634, 0.2053592, 0.1886021, 0.181669, 0.1835389, 0.1936128, 
    0.2113538, 0.236287, 0.2677152, 0.3052605, 0.3482522, 0.3961274, 
    0.4483251, 0.5043088, 0.5635608, 0.6254741, 0.6895264, 0.7549832, 
    0.821358, 0.8881711, 0.9545496, 1.020232, 1.084129, 1.146235, 1.2056, 
    1.261357, 1.313102, 1.360395, 1.402365, 1.438154, 1.467384, 1.489558, 
    1.505427, 1.51533, 1.520024, 1.519635, 1.514722, 1.505904, 1.493475, 
    1.478133, 1.460497, 1.440643, 1.419398, 1.397336, 1.374762, 1.352281, 
    1.330549, 1.310071, 1.291328, 1.275127, 1.261935, 1.252131, 1.246822, 
    1.246142, 1.251063, 1.262136, 1.279975, 1.305425, 1.338879,
  1.007888, 1.047061, 1.086782, 1.125419, 1.163072, 1.19907, 1.233359, 
    1.266597, 1.30349, 1.344067, 1.387732, 1.434055, 1.482555, 1.532819, 
    1.584407, 1.636905, 1.689846, 1.742812, 1.795242, 1.846793, 1.897214, 
    1.945758, 1.992238, 2.036053, 2.07688, 2.11423, 2.147757, 2.176957, 
    2.201415, 2.220746, 2.234525, 2.242324, 2.24365, 2.23819, 2.225423, 
    2.204751, 2.173544, 2.132185, 2.081358, 2.02181, 1.954371, 1.879844, 
    1.799064, 1.712716, 1.621652, 1.526703, 1.428587, 1.328242, 1.22629, 
    1.123617, 1.021021, 0.9193113, 0.8193765, 0.721849, 0.6276259, 0.537524, 
    0.452329, 0.3729796, 0.3000717, 0.2345544, 0.1772549, 0.1288996, 
    0.09045048, 0.06256111, 0.04362147, 0.03245713, 0.02853201, 0.03152365, 
    0.04078243, 0.05608924, 0.07679319, 0.1027343, 0.1331693, 0.167907, 
    0.2064121, 0.2480694, 0.2924412, 0.3393463, 0.387991, 0.4380711, 
    0.4890664, 0.5404866, 0.5917361, 0.6426985, 0.6922631, 0.7403775, 
    0.786127, 0.8295392, 0.869568, 0.9056348, 0.9376348, 0.9645598, 
    0.9865593, 1.00426, 1.017859, 1.027777, 1.034282, 1.037787, 1.038715, 
    1.037472, 1.033974, 1.029151, 1.022956, 1.016109, 1.008668, 1.001237, 
    0.9941866, 0.9879172, 0.9828933, 0.9795128, 0.9781255, 0.9791994, 
    0.983377, 0.9911225, 1.002781, 1.018937, 1.040134, 1.066847, 1.099736, 
    1.139271,
  1.251095, 1.29655, 1.341697, 1.385199, 1.426618, 1.465793, 1.502008, 
    1.536508, 1.573646, 1.613577, 1.656036, 1.700411, 1.746405, 1.793604, 
